"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年03月08日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈"
"2017100000","2017年度","00000","全国","","126,706,000","","61,655,000","","65,051,000",""
"2017100000","2017年度","01000","北海道","","5,320,000","","2,506,000","","2,814,000",""
"2017100000","2017年度","02000","青森県","","1,278,000","","600,000","","678,000",""
"2017100000","2017年度","03000","岩手県","","1,255,000","","604,000","","651,000",""
"2017100000","2017年度","04000","宮城県","","2,323,000","","1,136,000","","1,188,000",""
"2017100000","2017年度","05000","秋田県","","996,000","","468,000","","528,000",""
"2017100000","2017年度","06000","山形県","","1,102,000","","531,000","","571,000",""
"2017100000","2017年度","07000","福島県","","1,882,000","","932,000","","951,000",""
"2017100000","2017年度","08000","茨城県","","2,892,000","","1,442,000","","1,450,000",""
"2017100000","2017年度","09000","栃木県","","1,957,000","","974,000","","983,000",""
"2017100000","2017年度","10000","群馬県","","1,960,000","","968,000","","992,000",""
"2017100000","2017年度","11000","埼玉県","","7,310,000","","3,648,000","","3,662,000",""
"2017100000","2017年度","12000","千葉県","","6,246,000","","3,103,000","","3,143,000",""
"2017100000","2017年度","13000","東京都","","13,724,000","","6,760,000","","6,964,000",""
"2017100000","2017年度","14000","神奈川県","","9,159,000","","4,569,000","","4,590,000",""
"2017100000","2017年度","15000","新潟県","","2,267,000","","1,098,000","","1,169,000",""
"2017100000","2017年度","16000","富山県","","1,056,000","","511,000","","544,000",""
"2017100000","2017年度","17000","石川県","","1,147,000","","556,000","","591,000",""
"2017100000","2017年度","18000","福井県","","779,000","","378,000","","401,000",""
"2017100000","2017年度","19000","山梨県","","823,000","","403,000","","421,000",""
"2017100000","2017年度","20000","長野県","","2,076,000","","1,012,000","","1,064,000",""
"2017100000","2017年度","21000","岐阜県","","2,008,000","","973,000","","1,035,000",""
"2017100000","2017年度","22000","静岡県","","3,675,000","","1,810,000","","1,866,000",""
"2017100000","2017年度","23000","愛知県","","7,525,000","","3,764,000","","3,761,000",""
"2017100000","2017年度","24000","三重県","","1,800,000","","877,000","","923,000",""
"2017100000","2017年度","25000","滋賀県","","1,413,000","","697,000","","716,000",""
"2017100000","2017年度","26000","京都府","","2,599,000","","1,242,000","","1,357,000",""
"2017100000","2017年度","27000","大阪府","","8,823,000","","4,241,000","","4,583,000",""
"2017100000","2017年度","28000","兵庫県","","5,503,000","","2,624,000","","2,879,000",""
"2017100000","2017年度","29000","奈良県","","1,348,000","","635,000","","712,000",""
"2017100000","2017年度","30000","和歌山県","","945,000","","444,000","","501,000",""
"2017100000","2017年度","31000","鳥取県","","565,000","","270,000","","295,000",""
"2017100000","2017年度","32000","島根県","","685,000","","330,000","","355,000",""
"2017100000","2017年度","33000","岡山県","","1,907,000","","916,000","","991,000",""
"2017100000","2017年度","34000","広島県","","2,829,000","","1,372,000","","1,457,000",""
"2017100000","2017年度","35000","山口県","","1,383,000","","655,000","","727,000",""
"2017100000","2017年度","36000","徳島県","","743,000","","354,000","","389,000",""
"2017100000","2017年度","37000","香川県","","967,000","","469,000","","499,000",""
"2017100000","2017年度","38000","愛媛県","","1,364,000","","645,000","","719,000",""
"2017100000","2017年度","39000","高知県","","714,000","","336,000","","377,000",""
"2017100000","2017年度","40000","福岡県","","5,107,000","","2,415,000","","2,692,000",""
"2017100000","2017年度","41000","佐賀県","","824,000","","389,000","","434,000",""
"2017100000","2017年度","42000","長崎県","","1,354,000","","636,000","","718,000",""
"2017100000","2017年度","43000","熊本県","","1,765,000","","833,000","","933,000",""
"2017100000","2017年度","44000","大分県","","1,152,000","","546,000","","607,000",""
"2017100000","2017年度","45000","宮崎県","","1,089,000","","512,000","","577,000",""
"2017100000","2017年度","46000","鹿児島県","","1,626,000","","763,000","","863,000",""
"2017100000","2017年度","47000","沖縄県","","1,443,000","","709,000","","734,000",""
"2016100000","2016年度","00000","全国","","126,933,000","","61,766,000","","65,167,000",""
"2016100000","2016年度","01000","北海道","","5,352,000","","2,521,000","","2,830,000",""
"2016100000","2016年度","02000","青森県","","1,293,000","","608,000","","686,000",""
"2016100000","2016年度","03000","岩手県","","1,268,000","","610,000","","658,000",""
"2016100000","2016年度","04000","宮城県","","2,330,000","","1,139,000","","1,191,000",""
"2016100000","2016年度","05000","秋田県","","1,010,000","","474,000","","536,000",""
"2016100000","2016年度","06000","山形県","","1,113,000","","536,000","","578,000",""
"2016100000","2016年度","07000","福島県","","1,901,000","","941,000","","960,000",""
"2016100000","2016年度","08000","茨城県","","2,905,000","","1,448,000","","1,457,000",""
"2016100000","2016年度","09000","栃木県","","1,966,000","","978,000","","988,000",""
"2016100000","2016年度","10000","群馬県","","1,967,000","","971,000","","996,000",""
"2016100000","2016年度","11000","埼玉県","","7,289,000","","3,639,000","","3,651,000",""
"2016100000","2016年度","12000","千葉県","","6,236,000","","3,099,000","","3,136,000",""
"2016100000","2016年度","13000","東京都","","13,624,000","","6,717,000","","6,907,000",""
"2016100000","2016年度","14000","神奈川県","","9,145,000","","4,565,000","","4,580,000",""
"2016100000","2016年度","15000","新潟県","","2,286,000","","1,107,000","","1,179,000",""
"2016100000","2016年度","16000","富山県","","1,061,000","","513,000","","548,000",""
"2016100000","2016年度","17000","石川県","","1,151,000","","557,000","","594,000",""
"2016100000","2016年度","18000","福井県","","782,000","","380,000","","403,000",""
"2016100000","2016年度","19000","山梨県","","830,000","","406,000","","424,000",""
"2016100000","2016年度","20000","長野県","","2,088,000","","1,017,000","","1,071,000",""
"2016100000","2016年度","21000","岐阜県","","2,022,000","","979,000","","1,043,000",""
"2016100000","2016年度","22000","静岡県","","3,688,000","","1,815,000","","1,872,000",""
"2016100000","2016年度","23000","愛知県","","7,507,000","","3,755,000","","3,752,000",""
"2016100000","2016年度","24000","三重県","","1,808,000","","880,000","","928,000",""
"2016100000","2016年度","25000","滋賀県","","1,413,000","","697,000","","716,000",""
"2016100000","2016年度","26000","京都府","","2,605,000","","1,246,000","","1,359,000",""
"2016100000","2016年度","27000","大阪府","","8,833,000","","4,249,000","","4,583,000",""
"2016100000","2016年度","28000","兵庫県","","5,520,000","","2,633,000","","2,887,000",""
"2016100000","2016年度","29000","奈良県","","1,356,000","","640,000","","717,000",""
"2016100000","2016年度","30000","和歌山県","","954,000","","449,000","","505,000",""
"2016100000","2016年度","31000","鳥取県","","570,000","","272,000","","298,000",""
"2016100000","2016年度","32000","島根県","","690,000","","331,000","","358,000",""
"2016100000","2016年度","33000","岡山県","","1,915,000","","919,000","","996,000",""
"2016100000","2016年度","34000","広島県","","2,837,000","","1,375,000","","1,462,000",""
"2016100000","2016年度","35000","山口県","","1,394,000","","660,000","","734,000",""
"2016100000","2016年度","36000","徳島県","","750,000","","357,000","","393,000",""
"2016100000","2016年度","37000","香川県","","972,000","","471,000","","502,000",""
"2016100000","2016年度","38000","愛媛県","","1,375,000","","650,000","","725,000",""
"2016100000","2016年度","39000","高知県","","721,000","","339,000","","382,000",""
"2016100000","2016年度","40000","福岡県","","5,104,000","","2,413,000","","2,692,000",""
"2016100000","2016年度","41000","佐賀県","","828,000","","391,000","","437,000",""
"2016100000","2016年度","42000","長崎県","","1,367,000","","642,000","","725,000",""
"2016100000","2016年度","43000","熊本県","","1,774,000","","836,000","","938,000",""
"2016100000","2016年度","44000","大分県","","1,160,000","","549,000","","611,000",""
"2016100000","2016年度","45000","宮崎県","","1,096,000","","516,000","","581,000",""
"2016100000","2016年度","46000","鹿児島県","","1,637,000","","768,000","","869,000",""
"2016100000","2016年度","47000","沖縄県","","1,439,000","","708,000","","732,000",""
"2015100000","2015年度","00000","全国","","127,094,745","","61,841,738","","65,253,007",""
"2015100000","2015年度","01000","北海道","","5,381,733","","2,537,089","","2,844,644",""
"2015100000","2015年度","02000","青森県","","1,308,265","","614,694","","693,571",""
"2015100000","2015年度","03000","岩手県","","1,279,594","","615,584","","664,010",""
"2015100000","2015年度","04000","宮城県","","2,333,899","","1,140,167","","1,193,732",""
"2015100000","2015年度","05000","秋田県","","1,023,119","","480,336","","542,783",""
"2015100000","2015年度","06000","山形県","","1,123,891","","540,226","","583,665",""
"2015100000","2015年度","07000","福島県","","1,914,039","","945,660","","968,379",""
"2015100000","2015年度","08000","茨城県","","2,916,976","","1,453,594","","1,463,382",""
"2015100000","2015年度","09000","栃木県","","1,974,255","","981,626","","992,629",""
"2015100000","2015年度","10000","群馬県","","1,973,115","","973,283","","999,832",""
"2015100000","2015年度","11000","埼玉県","","7,266,534","","3,628,418","","3,638,116",""
"2015100000","2015年度","12000","千葉県","","6,222,666","","3,095,860","","3,126,806",""
"2015100000","2015年度","13000","東京都","","13,515,271","","6,666,690","","6,848,581",""
"2015100000","2015年度","14000","神奈川県","","9,126,214","","4,558,978","","4,567,236",""
"2015100000","2015年度","15000","新潟県","","2,304,264","","1,115,413","","1,188,851",""
"2015100000","2015年度","16000","富山県","","1,066,328","","515,147","","551,181",""
"2015100000","2015年度","17000","石川県","","1,154,008","","558,589","","595,419",""
"2015100000","2015年度","18000","福井県","","786,740","","381,474","","405,266",""
"2015100000","2015年度","19000","山梨県","","834,930","","408,327","","426,603",""
"2015100000","2015年度","20000","長野県","","2,098,804","","1,022,129","","1,076,675",""
"2015100000","2015年度","21000","岐阜県","","2,031,903","","983,850","","1,048,053",""
"2015100000","2015年度","22000","静岡県","","3,700,305","","1,820,993","","1,879,312",""
"2015100000","2015年度","23000","愛知県","","7,483,128","","3,740,844","","3,742,284",""
"2015100000","2015年度","24000","三重県","","1,815,865","","883,516","","932,349",""
"2015100000","2015年度","25000","滋賀県","","1,412,916","","696,941","","715,975",""
"2015100000","2015年度","26000","京都府","","2,610,353","","1,248,972","","1,361,381",""
"2015100000","2015年度","27000","大阪府","","8,839,469","","4,256,049","","4,583,420",""
"2015100000","2015年度","28000","兵庫県","","5,534,800","","2,641,561","","2,893,239",""
"2015100000","2015年度","29000","奈良県","","1,364,316","","643,946","","720,370",""
"2015100000","2015年度","30000","和歌山県","","963,579","","453,216","","510,363",""
"2015100000","2015年度","31000","鳥取県","","573,441","","273,705","","299,736",""
"2015100000","2015年度","32000","島根県","","694,352","","333,112","","361,240",""
"2015100000","2015年度","33000","岡山県","","1,921,525","","922,226","","999,299",""
"2015100000","2015年度","34000","広島県","","2,843,990","","1,376,211","","1,467,779",""
"2015100000","2015年度","35000","山口県","","1,404,729","","665,008","","739,721",""
"2015100000","2015年度","36000","徳島県","","755,733","","359,790","","395,943",""
"2015100000","2015年度","37000","香川県","","976,263","","472,308","","503,955",""
"2015100000","2015年度","38000","愛媛県","","1,385,262","","654,380","","730,882",""
"2015100000","2015年度","39000","高知県","","728,276","","342,672","","385,604",""
"2015100000","2015年度","40000","福岡県","","5,101,556","","2,410,418","","2,691,138",""
"2015100000","2015年度","41000","佐賀県","","832,832","","393,073","","439,759",""
"2015100000","2015年度","42000","長崎県","","1,377,187","","645,763","","731,424",""
"2015100000","2015年度","43000","熊本県","","1,786,170","","841,046","","945,124",""
"2015100000","2015年度","44000","大分県","","1,166,338","","551,932","","614,406",""
"2015100000","2015年度","45000","宮崎県","","1,104,069","","519,242","","584,827",""
"2015100000","2015年度","46000","鹿児島県","","1,648,177","","773,061","","875,116",""
"2015100000","2015年度","47000","沖縄県","","1,433,566","","704,619","","728,947",""
"2014100000","2014年度","00000","全国","","127,237,000","","61,901,000","","65,336,000",""
"2014100000","2014年度","01000","北海道","","5,410,000","","2,551,000","","2,859,000",""
"2014100000","2014年度","02000","青森県","","1,323,000","","622,000","","701,000",""
"2014100000","2014年度","03000","岩手県","","1,290,000","","620,000","","670,000",""
"2014100000","2014年度","04000","宮城県","","2,335,000","","1,140,000","","1,195,000",""
"2014100000","2014年度","05000","秋田県","","1,037,000","","487,000","","550,000",""
"2014100000","2014年度","06000","山形県","","1,134,000","","545,000","","589,000",""
"2014100000","2014年度","07000","福島県","","1,927,000","","948,000","","979,000",""
"2014100000","2014年度","08000","茨城県","","2,927,000","","1,458,000","","1,469,000",""
"2014100000","2014年度","09000","栃木県","","1,980,000","","984,000","","996,000",""
"2014100000","2014年度","10000","群馬県","","1,979,000","","975,000","","1,004,000",""
"2014100000","2014年度","11000","埼玉県","","7,247,000","","3,621,000","","3,626,000",""
"2014100000","2014年度","12000","千葉県","","6,209,000","","3,089,000","","3,119,000",""
"2014100000","2014年度","13000","東京都","","13,399,000","","6,612,000","","6,788,000",""
"2014100000","2014年度","14000","神奈川県","","9,103,000","","4,551,000","","4,552,000",""
"2014100000","2014年度","15000","新潟県","","2,320,000","","1,123,000","","1,198,000",""
"2014100000","2014年度","16000","富山県","","1,072,000","","517,000","","554,000",""
"2014100000","2014年度","17000","石川県","","1,157,000","","560,000","","597,000",""
"2014100000","2014年度","18000","福井県","","791,000","","383,000","","408,000",""
"2014100000","2014年度","19000","山梨県","","841,000","","411,000","","430,000",""
"2014100000","2014年度","20000","長野県","","2,110,000","","1,027,000","","1,083,000",""
"2014100000","2014年度","21000","岐阜県","","2,043,000","","989,000","","1,054,000",""
"2014100000","2014年度","22000","静岡県","","3,715,000","","1,828,000","","1,886,000",""
"2014100000","2014年度","23000","愛知県","","7,464,000","","3,729,000","","3,734,000",""
"2014100000","2014年度","24000","三重県","","1,826,000","","888,000","","937,000",""
"2014100000","2014年度","25000","滋賀県","","1,414,000","","698,000","","717,000",""
"2014100000","2014年度","26000","京都府","","2,616,000","","1,252,000","","1,363,000",""
"2014100000","2014年度","27000","大阪府","","8,845,000","","4,262,000","","4,583,000",""
"2014100000","2014年度","28000","兵庫県","","5,550,000","","2,650,000","","2,900,000",""
"2014100000","2014年度","29000","奈良県","","1,373,000","","648,000","","724,000",""
"2014100000","2014年度","30000","和歌山県","","972,000","","457,000","","515,000",""
"2014100000","2014年度","31000","鳥取県","","577,000","","275,000","","302,000",""
"2014100000","2014年度","32000","島根県","","699,000","","335,000","","364,000",""
"2014100000","2014年度","33000","岡山県","","1,926,000","","924,000","","1,002,000",""
"2014100000","2014年度","34000","広島県","","2,846,000","","1,376,000","","1,471,000",""
"2014100000","2014年度","35000","山口県","","1,415,000","","669,000","","746,000",""
"2014100000","2014年度","36000","徳島県","","763,000","","363,000","","400,000",""
"2014100000","2014年度","37000","香川県","","980,000","","474,000","","507,000",""
"2014100000","2014年度","38000","愛媛県","","1,396,000","","659,000","","737,000",""
"2014100000","2014年度","39000","高知県","","736,000","","346,000","","390,000",""
"2014100000","2014年度","40000","福岡県","","5,099,000","","2,409,000","","2,691,000",""
"2014100000","2014年度","41000","佐賀県","","837,000","","395,000","","442,000",""
"2014100000","2014年度","42000","長崎県","","1,387,000","","649,000","","738,000",""
"2014100000","2014年度","43000","熊本県","","1,795,000","","845,000","","950,000",""
"2014100000","2014年度","44000","大分県","","1,173,000","","555,000","","618,000",""
"2014100000","2014年度","45000","宮崎県","","1,112,000","","523,000","","589,000",""
"2014100000","2014年度","46000","鹿児島県","","1,662,000","","778,000","","883,000",""
"2014100000","2014年度","47000","沖縄県","","1,426,000","","700,000","","725,000",""
"2013100000","2013年度","00000","全国","","127,414,000","","61,985,000","","65,429,000",""
"2013100000","2013年度","01000","北海道","","5,438,000","","2,565,000","","2,873,000",""
"2013100000","2013年度","02000","青森県","","1,337,000","","628,000","","708,000",""
"2013100000","2013年度","03000","岩手県","","1,299,000","","623,000","","676,000",""
"2013100000","2013年度","04000","宮城県","","2,333,000","","1,138,000","","1,196,000",""
"2013100000","2013年度","05000","秋田県","","1,050,000","","493,000","","557,000",""
"2013100000","2013年度","06000","山形県","","1,144,000","","549,000","","595,000",""
"2013100000","2013年度","07000","福島県","","1,940,000","","951,000","","989,000",""
"2013100000","2013年度","08000","茨城県","","2,937,000","","1,464,000","","1,474,000",""
"2013100000","2013年度","09000","栃木県","","1,986,000","","986,000","","1,000,000",""
"2013100000","2013年度","10000","群馬県","","1,986,000","","978,000","","1,008,000",""
"2013100000","2013年度","11000","埼玉県","","7,228,000","","3,614,000","","3,614,000",""
"2013100000","2013年度","12000","千葉県","","6,201,000","","3,085,000","","3,116,000",""
"2013100000","2013年度","13000","東京都","","13,307,000","","6,569,000","","6,738,000",""
"2013100000","2013年度","14000","神奈川県","","9,084,000","","4,546,000","","4,538,000",""
"2013100000","2013年度","15000","新潟県","","2,336,000","","1,130,000","","1,206,000",""
"2013100000","2013年度","16000","富山県","","1,077,000","","520,000","","558,000",""
"2013100000","2013年度","17000","石川県","","1,160,000","","561,000","","599,000",""
"2013100000","2013年度","18000","福井県","","796,000","","385,000","","410,000",""
"2013100000","2013年度","19000","山梨県","","847,000","","414,000","","433,000",""
"2013100000","2013年度","20000","長野県","","2,122,000","","1,033,000","","1,090,000",""
"2013100000","2013年度","21000","岐阜県","","2,053,000","","994,000","","1,059,000",""
"2013100000","2013年度","22000","静岡県","","3,730,000","","1,836,000","","1,894,000",""
"2013100000","2013年度","23000","愛知県","","7,449,000","","3,722,000","","3,727,000",""
"2013100000","2013年度","24000","三重県","","1,833,000","","892,000","","941,000",""
"2013100000","2013年度","25000","滋賀県","","1,415,000","","699,000","","717,000",""
"2013100000","2013年度","26000","京都府","","2,622,000","","1,256,000","","1,366,000",""
"2013100000","2013年度","27000","大阪府","","8,856,000","","4,271,000","","4,585,000",""
"2013100000","2013年度","28000","兵庫県","","5,565,000","","2,659,000","","2,906,000",""
"2013100000","2013年度","29000","奈良県","","1,381,000","","653,000","","728,000",""
"2013100000","2013年度","30000","和歌山県","","980,000","","461,000","","519,000",""
"2013100000","2013年度","31000","鳥取県","","580,000","","277,000","","303,000",""
"2013100000","2013年度","32000","島根県","","704,000","","337,000","","367,000",""
"2013100000","2013年度","33000","岡山県","","1,932,000","","927,000","","1,005,000",""
"2013100000","2013年度","34000","広島県","","2,850,000","","1,376,000","","1,473,000",""
"2013100000","2013年度","35000","山口県","","1,425,000","","673,000","","752,000",""
"2013100000","2013年度","36000","徳島県","","769,000","","366,000","","403,000",""
"2013100000","2013年度","37000","香川県","","985,000","","475,000","","510,000",""
"2013100000","2013年度","38000","愛媛県","","1,406,000","","663,000","","743,000",""
"2013100000","2013年度","39000","高知県","","743,000","","349,000","","394,000",""
"2013100000","2013年度","40000","福岡県","","5,096,000","","2,406,000","","2,690,000",""
"2013100000","2013年度","41000","佐賀県","","841,000","","397,000","","445,000",""
"2013100000","2013年度","42000","長崎県","","1,397,000","","653,000","","744,000",""
"2013100000","2013年度","43000","熊本県","","1,801,000","","847,000","","954,000",""
"2013100000","2013年度","44000","大分県","","1,180,000","","558,000","","622,000",""
"2013100000","2013年度","45000","宮崎県","","1,119,000","","526,000","","593,000",""
"2013100000","2013年度","46000","鹿児島県","","1,675,000","","784,000","","891,000",""
"2013100000","2013年度","47000","沖縄県","","1,419,000","","697,000","","722,000",""
"2012100000","2012年度","00000","全国","","127,593,000","","62,080,000","","65,513,000",""
"2012100000","2012年度","01000","北海道","","5,465,000","","2,580,000","","2,886,000",""
"2012100000","2012年度","02000","青森県","","1,350,000","","635,000","","716,000",""
"2012100000","2012年度","03000","岩手県","","1,306,000","","625,000","","680,000",""
"2012100000","2012年度","04000","宮城県","","2,329,000","","1,134,000","","1,195,000",""
"2012100000","2012年度","05000","秋田県","","1,063,000","","499,000","","564,000",""
"2012100000","2012年度","06000","山形県","","1,153,000","","554,000","","600,000",""
"2012100000","2012年度","07000","福島県","","1,957,000","","956,000","","1,001,000",""
"2012100000","2012年度","08000","茨城県","","2,947,000","","1,469,000","","1,478,000",""
"2012100000","2012年度","09000","栃木県","","1,992,000","","989,000","","1,003,000",""
"2012100000","2012年度","10000","群馬県","","1,994,000","","982,000","","1,012,000",""
"2012100000","2012年度","11000","埼玉県","","7,216,000","","3,612,000","","3,604,000",""
"2012100000","2012年度","12000","千葉県","","6,200,000","","3,087,000","","3,113,000",""
"2012100000","2012年度","13000","東京都","","13,234,000","","6,538,000","","6,697,000",""
"2012100000","2012年度","14000","神奈川県","","9,070,000","","4,544,000","","4,526,000",""
"2012100000","2012年度","15000","新潟県","","2,350,000","","1,137,000","","1,214,000",""
"2012100000","2012年度","16000","富山県","","1,083,000","","523,000","","561,000",""
"2012100000","2012年度","17000","石川県","","1,164,000","","562,000","","601,000",""
"2012100000","2012年度","18000","福井県","","800,000","","387,000","","412,000",""
"2012100000","2012年度","19000","山梨県","","852,000","","417,000","","435,000",""
"2012100000","2012年度","20000","長野県","","2,132,000","","1,037,000","","1,095,000",""
"2012100000","2012年度","21000","岐阜県","","2,062,000","","998,000","","1,064,000",""
"2012100000","2012年度","22000","静岡県","","3,739,000","","1,841,000","","1,898,000",""
"2012100000","2012年度","23000","愛知県","","7,431,000","","3,713,000","","3,718,000",""
"2012100000","2012年度","24000","三重県","","1,841,000","","896,000","","945,000",""
"2012100000","2012年度","25000","滋賀県","","1,414,000","","698,000","","716,000",""
"2012100000","2012年度","26000","京都府","","2,628,000","","1,260,000","","1,368,000",""
"2012100000","2012年度","27000","大阪府","","8,861,000","","4,277,000","","4,584,000",""
"2012100000","2012年度","28000","兵庫県","","5,575,000","","2,665,000","","2,910,000",""
"2012100000","2012年度","29000","奈良県","","1,388,000","","656,000","","732,000",""
"2012100000","2012年度","30000","和歌山県","","988,000","","465,000","","524,000",""
"2012100000","2012年度","31000","鳥取県","","583,000","","278,000","","305,000",""
"2012100000","2012年度","32000","島根県","","708,000","","339,000","","369,000",""
"2012100000","2012年度","33000","岡山県","","1,937,000","","929,000","","1,008,000",""
"2012100000","2012年度","34000","広島県","","2,855,000","","1,379,000","","1,476,000",""
"2012100000","2012年度","35000","山口県","","1,434,000","","677,000","","757,000",""
"2012100000","2012年度","36000","徳島県","","775,000","","368,000","","406,000",""
"2012100000","2012年度","37000","香川県","","989,000","","477,000","","512,000",""
"2012100000","2012年度","38000","愛媛県","","1,415,000","","666,000","","749,000",""
"2012100000","2012年度","39000","高知県","","751,000","","352,000","","398,000",""
"2012100000","2012年度","40000","福岡県","","5,089,000","","2,402,000","","2,687,000",""
"2012100000","2012年度","41000","佐賀県","","845,000","","398,000","","447,000",""
"2012100000","2012年度","42000","長崎県","","1,408,000","","658,000","","750,000",""
"2012100000","2012年度","43000","熊本県","","1,807,000","","850,000","","958,000",""
"2012100000","2012年度","44000","大分県","","1,186,000","","561,000","","626,000",""
"2012100000","2012年度","45000","宮崎県","","1,125,000","","529,000","","597,000",""
"2012100000","2012年度","46000","鹿児島県","","1,687,000","","789,000","","898,000",""
"2012100000","2012年度","47000","沖縄県","","1,411,000","","693,000","","719,000",""
"2011100000","2011年度","00000","全国","","127,834,000","","62,207,000","","65,627,000",""
"2011100000","2011年度","01000","北海道","","5,488,000","","2,593,000","","2,896,000",""
"2011100000","2011年度","02000","青森県","","1,363,000","","641,000","","722,000",""
"2011100000","2011年度","03000","岩手県","","1,315,000","","628,000","","686,000",""
"2011100000","2011年度","04000","宮城県","","2,326,000","","1,130,000","","1,196,000",""
"2011100000","2011年度","05000","秋田県","","1,075,000","","505,000","","570,000",""
"2011100000","2011年度","06000","山形県","","1,162,000","","558,000","","604,000",""
"2011100000","2011年度","07000","福島県","","1,988,000","","968,000","","1,020,000",""
"2011100000","2011年度","08000","茨城県","","2,960,000","","1,475,000","","1,485,000",""
"2011100000","2011年度","09000","栃木県","","2,000,000","","993,000","","1,007,000",""
"2011100000","2011年度","10000","群馬県","","2,001,000","","985,000","","1,016,000",""
"2011100000","2011年度","11000","埼玉県","","7,209,000","","3,612,000","","3,597,000",""
"2011100000","2011年度","12000","千葉県","","6,217,000","","3,097,000","","3,120,000",""
"2011100000","2011年度","13000","東京都","","13,198,000","","6,524,000","","6,674,000",""
"2011100000","2011年度","14000","神奈川県","","9,060,000","","4,544,000","","4,516,000",""
"2011100000","2011年度","15000","新潟県","","2,364,000","","1,143,000","","1,221,000",""
"2011100000","2011年度","16000","富山県","","1,088,000","","525,000","","564,000",""
"2011100000","2011年度","17000","石川県","","1,167,000","","564,000","","603,000",""
"2011100000","2011年度","18000","福井県","","803,000","","389,000","","415,000",""
"2011100000","2011年度","19000","山梨県","","857,000","","420,000","","438,000",""
"2011100000","2011年度","20000","長野県","","2,142,000","","1,042,000","","1,101,000",""
"2011100000","2011年度","21000","岐阜県","","2,071,000","","1,003,000","","1,069,000",""
"2011100000","2011年度","22000","静岡県","","3,752,000","","1,847,000","","1,904,000",""
"2011100000","2011年度","23000","愛知県","","7,418,000","","3,707,000","","3,712,000",""
"2011100000","2011年度","24000","三重県","","1,847,000","","900,000","","948,000",""
"2011100000","2011年度","25000","滋賀県","","1,413,000","","698,000","","715,000",""
"2011100000","2011年度","26000","京都府","","2,633,000","","1,263,000","","1,370,000",""
"2011100000","2011年度","27000","大阪府","","8,863,000","","4,281,000","","4,582,000",""
"2011100000","2011年度","28000","兵庫県","","5,584,000","","2,670,000","","2,914,000",""
"2011100000","2011年度","29000","奈良県","","1,395,000","","660,000","","735,000",""
"2011100000","2011年度","30000","和歌山県","","995,000","","468,000","","527,000",""
"2011100000","2011年度","31000","鳥取県","","586,000","","280,000","","306,000",""
"2011100000","2011年度","32000","島根県","","713,000","","341,000","","372,000",""
"2011100000","2011年度","33000","岡山県","","1,941,000","","931,000","","1,010,000",""
"2011100000","2011年度","34000","広島県","","2,858,000","","1,380,000","","1,478,000",""
"2011100000","2011年度","35000","山口県","","1,444,000","","681,000","","763,000",""
"2011100000","2011年度","36000","徳島県","","780,000","","370,000","","410,000",""
"2011100000","2011年度","37000","香川県","","992,000","","478,000","","513,000",""
"2011100000","2011年度","38000","愛媛県","","1,424,000","","670,000","","753,000",""
"2011100000","2011年度","39000","高知県","","758,000","","356,000","","402,000",""
"2011100000","2011年度","40000","福岡県","","5,081,000","","2,399,000","","2,683,000",""
"2011100000","2011年度","41000","佐賀県","","847,000","","399,000","","448,000",""
"2011100000","2011年度","42000","長崎県","","1,418,000","","662,000","","756,000",""
"2011100000","2011年度","43000","熊本県","","1,813,000","","852,000","","961,000",""
"2011100000","2011年度","44000","大分県","","1,192,000","","563,000","","629,000",""
"2011100000","2011年度","45000","宮崎県","","1,130,000","","531,000","","600,000",""
"2011100000","2011年度","46000","鹿児島県","","1,697,000","","793,000","","904,000",""
"2011100000","2011年度","47000","沖縄県","","1,402,000","","688,000","","714,000",""
"2010100000","2010年度","00000","全国","","128,057,352","","62,327,737","","65,729,615",""
"2010100000","2010年度","01000","北海道","","5,506,419","","2,603,345","","2,903,074",""
"2010100000","2010年度","02000","青森県","","1,373,339","","646,141","","727,198",""
"2010100000","2010年度","03000","岩手県","","1,330,147","","634,971","","695,176",""
"2010100000","2010年度","04000","宮城県","","2,348,165","","1,139,566","","1,208,599",""
"2010100000","2010年度","05000","秋田県","","1,085,997","","509,926","","576,071",""
"2010100000","2010年度","06000","山形県","","1,168,924","","560,643","","608,281",""
"2010100000","2010年度","07000","福島県","","2,029,064","","984,682","","1,044,382",""
"2010100000","2010年度","08000","茨城県","","2,969,770","","1,479,779","","1,489,991",""
"2010100000","2010年度","09000","栃木県","","2,007,683","","996,855","","1,010,828",""
"2010100000","2010年度","10000","群馬県","","2,008,068","","988,019","","1,020,049",""
"2010100000","2010年度","11000","埼玉県","","7,194,556","","3,608,711","","3,585,845",""
"2010100000","2010年度","12000","千葉県","","6,216,289","","3,098,139","","3,118,150",""
"2010100000","2010年度","13000","東京都","","13,159,388","","6,512,110","","6,647,278",""
"2010100000","2010年度","14000","神奈川県","","9,048,331","","4,544,545","","4,503,786",""
"2010100000","2010年度","15000","新潟県","","2,374,450","","1,148,236","","1,226,214",""
"2010100000","2010年度","16000","富山県","","1,093,247","","526,605","","566,642",""
